Percy Jackson & the Olympians: The Lightning Thief	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Bayou Maharajah	"Documentary, Musical & Performing Arts, Special Interest"
Baywatch	"Action & Adventure, Comedy"
BB King: The Life of Riley	"Documentary, Musical & Performing Arts"
Be Afraid	"Mystery & Suspense, Science Fiction & Fantasy"
Be Cool	"Comedy, Drama, Mystery & Suspense"
Be Here to Love Me: A Film About Townes Van Zandt	"Documentary, Musical & Performing Arts, Special Interest"
Be Kind Rewind	Comedy
Be My Cat: A Film for Anne	"Art House & International, Horror, Mystery & Suspense"
Be Natural: The Untold Story of Alice Guy-Blaché	Documentary
Be With Me	"Art House & International, Drama, Romance"
The Beach	"Action & Adventure, Drama, Romance"
Beach Blanket Bingo	"Classics, Comedy, Musical & Performing Arts, Romance"
Beach Party	"Classics, Comedy, Drama, Musical & Performing Arts, Romance"
Beach Rats	Drama
Beaches	"Comedy, Drama, Musical & Performing Arts"
Bean	Comedy
Bearcity	Comedy
"The Beast From 20,000 Fathoms"	"Classics, Horror, Science Fiction & Fantasy"
Beast of Burden	"Action & Adventure, Drama"
The Beast Within	Horror
Beastly	"Drama, Science Fiction & Fantasy, Romance"
The Beastmaster	"Action & Adventure, Science Fiction & Fantasy"
Beasts of the Southern Wild	Drama
Beat Street	"Drama, Musical & Performing Arts"
De Battre mon Coeur s'est Arrêté (The Beat That My Heart Skipped)	"Art House & International, Drama"
A Hard Day's Night	"Classics, Comedy, Musical & Performing Arts"
Help!	"Comedy, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy"
Yellow Submarine	"Action & Adventure, Animation, Comedy, Cult Movies, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy"
Beats	Drama
Beats Rhymes & Life: The Travels of a Tribe Called Quest	"Documentary, Musical & Performing Arts"
Beau Geste	"Action & Adventure, Classics, Drama"
The Beautician and the Beast	"Comedy, Romance"
Beautiful Darling	"Documentary, Special Interest, Television"
Beautiful Boxer	"Action & Adventure, Art House & International, Drama"
Beautiful Boy	Drama
The Beautiful Country	Drama
Beautiful Creatures	"Comedy, Drama, Mystery & Suspense"
Beautiful Creatures	"Drama, Science Fiction & Fantasy, Romance"
Beautiful Girls	"Comedy, Drama"
Beautiful Kate	"Art House & International, Drama, Mystery & Suspense"
Beautiful Losers	"Documentary, Musical & Performing Arts, Special Interest"
A Beautiful Mind	Drama
Beautiful People	"Art House & International, Comedy, Drama"
Beautiful Something	"Drama, Romance"
The Beautiful Truth	"Documentary, Drama, Special Interest"
Beautifully Broken	Drama
Beauty and the Beast - The Enchanted Christmas	"Animation, Kids & Family, Science Fiction & Fantasy"
Beauty and the Beast	"Animation, Drama, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance"
Beauty And The Beast (La belle et la bête)	"Mystery & Suspense, Science Fiction & Fantasy, Romance"
Beauty and the Beast	"Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance"
Beauty Is Embarrassing	"Documentary, Musical & Performing Arts, Special Interest, Television"
Beavis and Butt-head Do America	"Animation, Comedy"
Bebe's Kids	"Animation, Comedy, Kids & Family"
Because I Said So	"Comedy, Drama, Romance"
Because of Winn-Dixie	"Comedy, Drama, Kids & Family, Sports & Fitness"
Becket	"Classics, Drama"
Becks	Drama
Becoming Astrid (Unga Astrid)	"Art House & International, Drama"
Becoming Jane	"Drama, Romance"
Becoming Santa	"Documentary, Musical & Performing Arts, Special Interest"
Becoming Traviata	"Documentary, Musical & Performing Arts"
Bedazzled	"Classics, Comedy, Science Fiction & Fantasy"
The Bedford Incident	"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense"
Bedknobs and Broomsticks	"Action & Adventure, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy"
Bedlam	"Drama, Horror, Mystery & Suspense"
The Bedroom Window	Mystery & Suspense
Bedrooms and Hallways	"Comedy, Romance"
Bedtime for Bonzo	"Classics, Comedy"
Bedtime Stories	"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy"
Bee Movie	"Animation, Comedy, Kids & Family"
Bee Season	Drama
Been Rich All My Life	"Documentary, Musical & Performing Arts, Special Interest"
Been So Long	"Drama, Romance"
Beer for My Horses	Comedy
Beer League	Comedy
Beer Wars	"Documentary, Drama, Special Interest"
Beerfest	"Comedy, Sports & Fitness"
Beeswax	"Comedy, Drama"
Beethoven's 2nd	"Action & Adventure, Comedy, Kids & Family"
Beethoven's 3rd	"Comedy, Kids & Family"
Beethoven's 4th	"Comedy, Kids & Family"
Beetle Queen Conquers Tokyo	"Documentary, Special Interest"
Beetlejuice	"Comedy, Horror, Science Fiction & Fantasy"
Before I Disappear	Drama
Before I Fall	Drama
Before I Go to Sleep	Mystery & Suspense
Before Midnight	"Drama, Romance"
Before Night Falls	Drama
Before Stonewall	"Documentary, Drama, Special Interest"
Before Sunrise	"Drama, Romance"
Before Sunset	"Drama, Romance"
Before the Devil Knows You're Dead	"Drama, Mystery & Suspense"
Before the Flood	Documentary
Before We Go	"Comedy, Drama, Romance"
Before You Know It	"Documentary, Special Interest"
Begin Again	"Comedy, Drama, Musical & Performing Arts"
Beginners	"Comedy, Drama"
The Beguiled	"Classics, Drama"
Behaving Badly	"Comedy, Drama"
Behind Enemy Lines II: Axis of Evil	"Action & Adventure, Mystery & Suspense"
Behind The Burly Q	"Documentary, Musical & Performing Arts"
Behind the Candelabra	"Drama, Television"
Behind the Mask: The Rise of Leslie Vernon	"Comedy, Horror, Kids & Family, Mystery & Suspense"
Behold a Pale Horse	"Classics, Drama"
Beijing Taxi	"Documentary, Special Interest"
Being 17 (Quand on a 17 ans)	"Comedy, Drama"
Being Elmo: A Puppeteer's Journey	"Documentary, Television"
Being Evel	Documentary
Being Flynn	Drama
Being Frank	"Comedy, Drama"
Being Human	"Comedy, Drama"
Being John Malkovich	"Comedy, Drama, Science Fiction & Fantasy"
Being Julia	"Comedy, Drama"
Being There	"Comedy, Drama"
Beirut	Drama
Bel Ami	Drama
Bela Lugosi Meets a Brooklyn Gorilla	"Classics, Comedy, Horror, Science Fiction & Fantasy"
Believe	Drama
Believe Me	Comedy
Bella (Beauty)	"Art House & International, Drama, Romance"
The Bellboy	"Classics, Comedy"
Belle	Drama
Belle de Jour	Drama
Belle's Magical World	"Animation, Comedy, Kids & Family"
Bellflower	"Action & Adventure, Drama, Romance"
Bells Are Ringing	"Classics, Musical & Performing Arts, Romance"
Belly	"Action & Adventure, Drama, Mystery & Suspense"
Beloved	"Comedy, Drama"
Beloved Sisters	Drama
Below	"Mystery & Suspense, Science Fiction & Fantasy"
Ben-Hur	"Classics, Drama"
Ben is Back	Drama
The Benchwarmers	Comedy
Bend It like Beckham	"Comedy, Drama"
Benda Bilili!	"Art House & International, Documentary, Special Interest"
Beneath	Horror
Beneath Hill 60	"Art House & International, Drama"
Beneath The Darkness	Mystery & Suspense
Beneath The Harvest Sky	Drama
Beneath the Leaves	Mystery & Suspense
Beneath The Planet Of The Apes	"Action & Adventure, Science Fiction & Fantasy"
Ben-Hur	"Action & Adventure, Classics, Drama, Romance"
Benji	"Action & Adventure, Documentary, Kids & Family"
Benji	Kids & Family
Benji: Off the Leash!	"Drama, Kids & Family"
Benji the Hunted	"Action & Adventure, Comedy, Kids & Family"
Benny & Joon	"Comedy, Drama, Romance"
Benny's Video	"Art House & International, Drama, Horror"
Beowulf	"Action & Adventure, Animation, Science Fiction & Fantasy"
Berberian Sound Studio	Horror
Bereavement	Horror
Berlin: Symphony of a Great City (Berlin: Die Sinfonie der Großstadt)	"Art House & International, Classics, Documentary, Special Interest"
"Berlin, I Love You"	"Comedy, Romance"
Berlin Syndrome	"Art House & International, Drama, Mystery & Suspense"
Bernard and Huey	Comedy
Bernie	Comedy
"Bert Rigby, You're a Fool"	"Comedy, Musical & Performing Arts"
Beside Bowie: The Mick Ronson Story	Documentary
Beside Still Waters	"Comedy, Drama, Romance"
Bessie	"Drama, Television"
Best Friends	"Comedy, Drama"
Best in Show	Comedy
Best Laid Plans	"Drama, Mystery & Suspense"
Best Laid Plans	Drama
The Best Little Whorehouse in Texas	"Comedy, Musical & Performing Arts, Romance"
Best Men	"Comedy, Drama, Mystery & Suspense"
Best Night Ever	Comedy
Best Of Enemies	Documentary
The Best of Everything	"Classics, Drama"
Best Seller	"Action & Adventure, Drama, Mystery & Suspense"
Best Worst Movie	"Comedy, Documentary, Television"
The Best Years of Our Lives	"Classics, Drama, Romance"
Bestiaire	"Art House & International, Documentary, Drama, Special Interest"
Bethany	Horror
Bethlehem	"Drama, Mystery & Suspense"
Betsy's Wedding	"Comedy, Romance"
Better Living Through Chemistry	"Comedy, Drama"
Better Luck Tomorrow	"Action & Adventure, Drama"
Better Start Running	"Action & Adventure, Comedy"
Better than Chocolate	"Art House & International, Comedy, Romance, Gay & Lesbian"
Better This World	"Documentary, Special Interest"
A Better Tomorrow	"Action & Adventure, Art House & International, Drama, Mystery & Suspense"
Better Watch Out	"Drama, Horror, Mystery & Suspense"
Bettie Page Reveals All	"Documentary, Special Interest"
Betting on Zero	Documentary
372 le Matin (Betty Blue) (37.2 Degrees in the Morning)	"Art House & International, Drama, Romance"
Between Love & Goodbye	"Drama, Gay & Lesbian"
Between Strangers	Drama
Between the Lines	"Comedy, Drama, Special Interest"
Between Two Ferns: The Movie	Comedy
Between Us	"Comedy, Drama"
Between Us	"Comedy, Drama, Romance"
Between Worlds	Mystery & Suspense
Beverly Hills Cop	"Action & Adventure, Comedy, Mystery & Suspense"
Beverly Hills Cop II	"Action & Adventure, Comedy"
Beverly Hills Cop III	"Action & Adventure, Comedy"
Beverly Hills Ninja	"Action & Adventure, Comedy"
Beware Of Mr. Baker	"Documentary, Musical & Performing Arts"
Beware the Gonzo	Comedy
Bewitched	"Comedy, Science Fiction & Fantasy"
The Beyond (...E tu vivrai nel terrore! L'aldilà)	"Drama, Horror"
Beyond a Reasonable Doubt	"Drama, Mystery & Suspense"
Beyond Belief	"Documentary, Drama, Special Interest"
Beyond Borders	"Action & Adventure, Drama, Romance"
Beyond Clueless	"Documentary, Horror, Special Interest, Romance"
Beyond Hatred (Au-dela de la haine)	"Art House & International, Documentary, Special Interest"
Beyond Outrage	Action & Adventure
Beyond Rangoon	"Action & Adventure, Drama"
Beyond Re-Animator	"Comedy, Horror, Science Fiction & Fantasy"
Beyond Skyline	"Action & Adventure, Drama, Science Fiction & Fantasy"
Beyond The Black Rainbow	"Horror, Science Fiction & Fantasy"
Beyond the Edge	"Action & Adventure, Documentary, Drama, Mystery & Suspense, Sports & Fitness"
Beyond the Gates	Drama
Beyond the Gates	"Action & Adventure, Drama, Horror, Science Fiction & Fantasy"
Beyond The Hills	"Art House & International, Drama"
Beyond the Lights	Drama
Beyond the Mat	"Documentary, Special Interest, Sports & Fitness"
Beyond the Ocean	"Art House & International, Drama"
Beyond the Poseidon Adventure	Action & Adventure
Beyond The Reach	Mystery & Suspense
Beyond the Sea	"Drama, Musical & Performing Arts"
Beyond the Valley of the Dolls	"Classics, Comedy, Drama, Mystery & Suspense, Romance"
Beyond Therapy	Comedy
Bhaag Milkha Bhaag	Drama
Bhool Bhulaiyaa	"Art House & International, Comedy, Drama"
Bhoot (Ghost House)	"Art House & International, Drama, Horror"
Bhutto	"Documentary, Special Interest"
Bicentennial Man	"Comedy, Drama, Science Fiction & Fantasy"
Bickford Shmeckler's Cool Ideas	Comedy
Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief)	Drama
Bidder 70	"Documentary, Drama, Special Interest"
Big	"Comedy, Kids & Family, Science Fiction & Fantasy"
Big Stan	Comedy
Big Ass Spider!	"Comedy, Science Fiction & Fantasy"
Big Bad Love	"Art House & International, Drama"
Big Bad Mama	"Action & Adventure, Comedy, Drama"
Big Bad Wolves	"Comedy, Drama, Mystery & Suspense"
The Big Bounce	"Action & Adventure, Comedy, Drama"
Big Boys Gone Bananas!*	"Documentary, Special Interest"
The Big Brass Ring	Drama
Big Bully	"Comedy, Drama"
The Big Bus	"Action & Adventure, Comedy, Science Fiction & Fantasy"
The Big Chill	"Comedy, Drama, Musical & Performing Arts"
The Big Clock	"Classics, Drama, Mystery & Suspense"
The Big Combo	"Classics, Drama, Mystery & Suspense"
The Big Country	"Classics, Drama, Western"
Big Daddy	"Comedy, Kids & Family"
Big Driver	Mystery & Suspense
The Big Easy	"Action & Adventure, Comedy, Drama, Mystery & Suspense"
Big Eden	"Comedy, Drama, Romance, Gay & Lesbian"
Big Eyes	Drama
Big Fat Liar	"Comedy, Kids & Family"
Big Foot: The Lost Coast Tapes	"Horror, Mystery & Suspense"
Big Game	Action & Adventure
The Big Gay Musical	"Comedy, Musical & Performing Arts, Gay & Lesbian"
The Big Green	"Comedy, Kids & Family"
Big Hero 6	"Animation, Kids & Family"
The Big Hit	Action & Adventure
Big Kill	"Action & Adventure, Western"
Big Liar on Campus	"Comedy, Drama"
Big Miracle	"Action & Adventure, Comedy, Drama, Romance"
Big Momma's House	"Action & Adventure, Comedy"
"Big Mommas: Like Father, Like Son"	Comedy
Big Muddy	"Drama, Horror, Western"
Big Night	"Comedy, Drama, Romance"
The Big One	"Documentary, Special Interest"
The Big Picture	"Comedy, Drama"
The Big Red One	"Action & Adventure, Drama"
The Big Shot-Caller	Drama
Big Sky	"Drama, Mystery & Suspense"
Big Star: Nothing Can Hurt Me	"Documentary, Musical & Performing Arts"
The Big Steal	"Action & Adventure, Classics, Drama, Mystery & Suspense"
Big Stone Gap	"Comedy, Romance"
Big Sur	"Drama, Special Interest"
The Big Tease	"Art House & International, Comedy"
Big Top Pee-wee	Comedy
The Big Trail	"Classics, Drama, Western"
Big Trouble in Little China	"Action & Adventure, Science Fiction & Fantasy"
Big Wednesday	"Comedy, Drama"
The Bigamist	"Classics, Drama"
"Bigger, Stronger, Faster*"	"Documentary, Special Interest"
Bigger Than the Sky	"Comedy, Drama"
Biggie and Tupac	"Documentary, Drama, Musical & Performing Arts, Special Interest"
Biker Boyz	"Action & Adventure, Drama"
Bikes vs Cars	Documentary
Bill	"Comedy, Kids & Family"
Bill & Ted's Bogus Journey	"Action & Adventure, Comedy, Science Fiction & Fantasy"
Bill and Ted's Excellent Adventure	"Action & Adventure, Comedy, Science Fiction & Fantasy"
Bill Burr: I'm Sorry You Feel That Way	Comedy
Bill Burr: Paper Tiger	Comedy
Bill Cunningham New York	"Documentary, Musical & Performing Arts"
Billion Dollar Brain	"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense"
Billionaire Boys Club	"Drama, Mystery & Suspense"
Billionaire Ransom (Take Down)	Mystery & Suspense
Billu	"Art House & International, Comedy"
Billy Bathgate	Drama
Billy Elliot	"Comedy, Drama, Musical & Performing Arts"
Billy Jack	"Action & Adventure, Classics, Cult Movies, Drama, Special Interest"
Billy Jack Goes to Washington	"Action & Adventure, Art House & International, Drama"
Billy Liar	"Classics, Comedy, Drama, Science Fiction & Fantasy"
Billy Lynn's Long Halftime Walk	Drama
Billy Madison	Comedy
Billy's Hollywood Screen Kiss	"Comedy, Romance"
Biloxi Blues	"Comedy, Drama"
Iceman	"Action & Adventure, Art House & International, Comedy, Science Fiction & Fantasy"
Bio-Dome	Comedy
Bird	Drama
Bird Box	"Drama, Mystery & Suspense, Science Fiction & Fantasy"
Bird on a Wire	"Action & Adventure, Comedy"
Bird People	"Drama, Romance"
L'uccello dalle piume di cristallo (The Bird With the Crystal Plumage)	"Art House & International, Drama, Mystery & Suspense"
Birdemic: Shock And Terror	"Horror, Mystery & Suspense, Romance"
Birders: The Central Park Effect	Documentary
Birdman	"Comedy, Drama"
Birdman of Alcatraz	"Classics, Drama, Mystery & Suspense"
Birdy	Drama
Birth	"Drama, Mystery & Suspense"
The Birth of a Nation	"Classics, Drama"
Birth of the Dragon	"Action & Adventure, Drama"
Birth Of The Living Dead	"Documentary, Special Interest"
Birthday Girl	"Comedy, Drama, Mystery & Suspense"
Bitch	Comedy
Bite	"Art House & International, Horror"
Bite the Bullet	"Action & Adventure, Drama, Western"
Bitter Moon	"Art House & International, Comedy, Drama"
Bitter Feast	"Comedy, Horror"
Bitter Harvest	"Drama, Romance"
